date_time,heart_zone_id,total_minutes
2023-11-18T09:57,FAT_BURN,1
2023-11-18T09:58,CARDIO,2
2023-11-18T09:59,FAT_BURN,1
2023-11-18T10:00,FAT_BURN,1
2023-11-18T10:01,FAT_BURN,1
2023-11-18T10:02,CARDIO,2
2023-11-18T10:03,CARDIO,2
2023-11-18T10:04,CARDIO,2
2023-11-18T10:05,CARDIO,2
2023-11-18T10:06,FAT_BURN,1
2023-11-18T12:17,FAT_BURN,1
2023-11-18T12:21,FAT_BURN,1
2023-11-18T12:22,FAT_BURN,1
2023-11-18T12:23,FAT_BURN,1
2023-11-18T12:24,FAT_BURN,1
2023-11-18T12:25,FAT_BURN,1
2023-11-18T12:26,FAT_BURN,1
2023-11-18T12:27,FAT_BURN,1
2023-11-18T12:28,FAT_BURN,1
2023-11-18T12:29,FAT_BURN,1
2023-11-20T10:49,FAT_BURN,1
2023-11-20T10:50,FAT_BURN,1
2023-11-20T10:51,FAT_BURN,1
2023-11-20T10:52,CARDIO,2
2023-11-20T10:53,CARDIO,2
2023-11-20T10:56,FAT_BURN,1
2023-11-20T10:57,FAT_BURN,1
2023-11-20T11:23,CARDIO,2
2023-11-20T11:24,CARDIO,2
2023-11-20T11:25,CARDIO,2
2023-11-20T11:26,CARDIO,2
2023-11-20T11:27,CARDIO,2
2023-11-20T13:07,FAT_BURN,1
2023-11-20T13:08,FAT_BURN,1
2023-11-20T14:06,FAT_BURN,1
2023-11-20T14:07,FAT_BURN,1
2023-11-20T14:39,FAT_BURN,1
2023-11-20T14:41,PEAK,2
2023-11-20T14:42,PEAK,2
2023-11-20T14:43,PEAK,2
2023-11-20T14:44,PEAK,2
2023-11-20T14:45,CARDIO,2
2023-11-20T14:46,FAT_BURN,1
2023-11-20T14:47,CARDIO,2
2023-11-20T14:48,FAT_BURN,1
2023-11-20T14:49,FAT_BURN,1
2023-11-20T14:50,FAT_BURN,1
2023-11-21T08:45,FAT_BURN,1
2023-11-21T08:46,FAT_BURN,1
2023-11-21T08:47,FAT_BURN,1
2023-11-21T08:48,FAT_BURN,1
2023-11-21T08:49,CARDIO,2
2023-11-21T08:51,FAT_BURN,1
2023-11-21T08:52,CARDIO,2
2023-11-21T09:23,FAT_BURN,1
2023-11-21T09:24,FAT_BURN,1
2023-11-21T10:07,FAT_BURN,1
2023-11-21T14:19,FAT_BURN,1
2023-11-21T17:14,FAT_BURN,1
2023-11-21T17:15,FAT_BURN,1
2023-11-21T17:16,FAT_BURN,1
2023-11-21T17:17,FAT_BURN,1
2023-11-21T17:18,FAT_BURN,1
2023-11-21T17:43,FAT_BURN,1
2023-11-21T18:11,CARDIO,2
2023-11-21T18:12,FAT_BURN,1
2023-11-21T18:13,FAT_BURN,1
2023-11-21T18:14,FAT_BURN,1
2023-11-22T17:16,FAT_BURN,1
2023-11-22T17:17,CARDIO,2
2023-11-22T17:18,CARDIO,2
2023-11-22T17:19,CARDIO,2
2023-11-22T17:20,CARDIO,2
2023-11-22T17:21,CARDIO,2
2023-11-22T17:22,CARDIO,2
2023-11-22T17:23,PEAK,2
2023-11-22T17:24,PEAK,2
2023-11-22T17:25,PEAK,2
2023-11-22T17:26,PEAK,2
2023-11-22T17:27,PEAK,2
2023-11-22T17:28,PEAK,2
2023-11-22T17:29,PEAK,2
2023-11-22T17:30,PEAK,2
2023-11-22T17:31,PEAK,2
2023-11-22T17:32,PEAK,2
2023-11-22T17:33,PEAK,2
2023-11-22T17:34,PEAK,2
2023-11-22T17:35,PEAK,2
2023-11-22T17:36,PEAK,2
2023-11-22T17:37,PEAK,2
2023-11-22T17:38,PEAK,2
2023-11-22T17:39,PEAK,2
2023-11-22T17:40,PEAK,2
2023-11-22T17:41,PEAK,2
2023-11-22T17:42,PEAK,2
2023-11-22T17:43,PEAK,2
2023-11-22T17:44,PEAK,2
2023-11-22T17:45,PEAK,2
2023-11-22T17:46,PEAK,2
2023-11-22T17:47,PEAK,2
2023-11-22T17:48,PEAK,2
2023-11-22T17:49,PEAK,2
2023-11-22T17:50,PEAK,2
2023-11-22T17:51,PEAK,2
2023-11-22T17:52,PEAK,2
2023-11-22T17:53,PEAK,2
2023-11-22T17:54,PEAK,2
2023-11-22T17:55,PEAK,2
2023-11-22T17:56,PEAK,2
2023-11-22T17:57,PEAK,2
2023-11-22T17:58,PEAK,2
2023-11-22T17:59,PEAK,2
2023-11-22T18:00,PEAK,2
2023-11-22T18:01,PEAK,2
2023-11-22T18:02,PEAK,2
2023-11-22T18:03,CARDIO,2
2023-11-22T18:04,CARDIO,2
2023-11-22T18:05,CARDIO,2
2023-11-22T18:06,CARDIO,2
2023-11-22T18:07,CARDIO,2
2023-11-22T18:08,CARDIO,2
